title,category,price_gbp,star_rating
Travels with Charley: In Search of America,Nonfiction,57.82,Five
The Tumor,Nonfiction,41.56,Five
The End of the Jesus Era (An Investigation #1),Nonfiction,14.4,One
"Eat, Pray, Love",Nonfiction,51.32,Three
Rip it Up and Start Again,Music,35.02,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,Three
How Music Works,Music,37.32,Two
Love Is a Mix Tape (Music #1),Music,18.03,One
Please Kill Me: The Uncensored Oral History of Punk,Music,31.19,Four
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,45.05,Five
"Chronicles, Vol. 1",Music,52.6,Two
This Is Your Brain on Music: The Science of a Human Obsession,Music,38.4,One
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,12.36,Three
No One Here Gets Out Alive,Music,20.02,Five
Life,Music,31.58,Five
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,55.66,Two
Forever Rockers (The Rocker #12),Music,28.8,Three
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,Four
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,Two
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,Three
Aladdin and His Wonderful Lamp,Default,53.13,Three
Penny Maybe,Default,33.29,Three
Maude (1883-1993):She Grew Up with the country,Default,18.02,Two
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,20.59,Five
Soul Reader,Default,39.58,Two
Bossypants,Default,49.46,Two
A World of Flavor: Your Gluten Free Passport,Default,42.95,One
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,56.76,Five
Tracing Numbers on a Train,Default,41.6,Three
Thirteen Reasons Why,Default,52.72,One
The Secret (The Secret #1),Default,27.37,Four
The Psychopath Test: A Journey Through the Madness Industry,Default,36.0,Two
The Kite Runner,Default,41.82,Four
The Girl on the Train,Default,55.02,Two
The Emerald Mystery,Default,23.15,Two
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,32.0,Three
The Art of War,Default,33.34,Five
Secrets and Lace (Fatal Hearts #1),Default,20.27,One
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,36.94,One
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,41.06,One
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Default,10.76,One
Large Print Heart of the Pride,Default,19.15,Two
Grumbles,Default,22.16,Two
First Steps for New Christians (Print Edition),Default,29.0,One
Eureka Trivia 6.0,Default,54.59,Four
Drive: The Surprising Truth About What Motivates Us,Default,34.95,Four
Done Rubbed Out (Reightman & Bailey #1),Default,37.72,Five
Beauty Restored (Riley Family Legacy Novellas #3),Default,11.11,Two
Ayumi's Violin,Default,15.48,Two
Anonymous,Default,46.82,Four
Amy Meets the Saints and Sages,Default,18.46,Three
Amatus,Default,50.54,Five
V for Vendetta (V for Vendetta Complete),Default,37.1,Four
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,45.95,Two
The Wright Brothers,Default,56.8,Four
The Songs of the Gods,Default,44.48,Five
The Rosie Project (Don Tillman #1),Default,54.04,One
The Power of Habit: Why We Do What We Do in Life and Business,Default,16.88,Three
Steve Jobs,Default,39.5,Five
Luckiest Girl Alive,Default,49.83,Three
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Default,46.91,Four
Lady Midnight (The Dark Artifices #1),Default,16.28,Five
"Hush, Hush (Hush, Hush #1)",Default,47.02,Three
Greek Mythic History,Default,10.23,Five
Every Last Word,Default,46.47,Three
Daily Fantasy Sports,Default,36.58,One
Clockwork Angel (The Infernal Devices #1),Default,44.14,One
City of Fallen Angels (The Mortal Instruments #4),Default,11.23,Four
City of Bones (The Mortal Instruments #1),Default,43.28,One
City of Ashes (The Mortal Instruments #2),Default,47.27,One
"Carry On, Warrior: Thoughts on Life Unarmed",Default,31.85,Three
Carrie,Default,46.23,Two
Angels & Demons (Robert Langdon #1),Default,51.48,Three
"The Three Searches, Meaning, and the Story",Default,13.33,Three
Raspberry Pi Electronics Projects for the Evil Genius,Default,49.67,Four
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,58.32,Five
Eleanor & Park,Default,56.51,Five
Troublemaker: Surviving Hollywood and Scientology,Default,48.39,Two
Adultery,Default,20.88,Five
Unlimited Intuition Now,Default,58.87,Four
Underlying Notes,Default,11.82,Two
The New Brand You: Your New Image Makes the Sale for You,Default,44.05,Five
The Flowers Lied,Default,16.68,Two
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Default,10.41,Four
Modern Day Fables,Default,47.44,Two
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Default,43.62,Five
The Martian (The Martian #1),Default,41.39,Two
Left Behind (Left Behind #1),Default,40.72,Two
John Vassos: Industrial Design for Modern Life,Default,20.22,Four
I'll Give You the Sun,Default,56.48,One
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Default,52.86,Two
Ender's Game (The Ender Quintet #1),Default,43.64,One
Death by Leisure: A Cautionary Tale,Default,37.51,Four
Wildlife of New York: A Five-Borough Coloring Book,Default,22.14,Two
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Default,34.72,One
The Great Gatsby,Default,36.05,Four
The Good Girl,Default,49.03,Three
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,33.17,Four
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Default,20.9,Two
Life of Pi,Default,13.22,Four
The Sound Of Love,Default,57.84,Five
The Perks of Being a Wallflower,Default,55.02,Three
The Makings of a Fatherless Child,Default,31.58,Two
The Hobbit (Middle-Earth Universe),Default,17.8,Five
The Fellowship of the Ring (The Lord of the Rings #1),Default,10.27,Two
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,30.6,Three
Musicophilia: Tales of Music and the Brain,Default,46.58,One
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,53.68,Four
The Fault in Our Stars,Default,47.22,One
The Dream Thieves (The Raven Cycle #2),Default,34.5,One
The 5th Wave (The 5th Wave #1),Default,11.83,Two
Shiver (The Wolves of Mercy Falls #1),Default,16.23,Five
Remember Me?,Default,11.48,Three
If I Stay (If I Stay #1),Default,38.13,Five
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,36.55,Two
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,23.32,One
Fool Me Once,Default,16.96,One
Drama,Default,38.7,Two
"Blue Lily, Lily Blue (The Raven Cycle #3)",Default,34.13,Five
Alight (The Generations Trilogy #2),Default,58.59,Four
Vogue Colors A to Z: A Fashion Coloring Book,Default,52.35,Four
The Shining (The Shining #1),Default,27.88,Three
The Hunger Games (The Hunger Games #1),Default,29.85,Five
Outlander (Outlander #1),Default,19.67,Five
Mockingjay (The Hunger Games #3),Default,20.44,Four
Harry Potter and the Sorcerer's Stone (Harry Potter #1),Default,13.9,Three
Confessions of a Shopaholic (Shopaholic #1),Default,48.94,Two
Zero History (Blue Ant #3),Default,34.77,One
World War Z: An Oral History of the Zombie War,Default,21.8,One
Wild: From Lost to Found on the Pacific Crest Trail,Default,46.02,Three
"Where'd You Go, Bernadette",Default,18.13,One
Twilight (Twilight #1),Default,41.93,Two
The Paris Wife,Default,36.8,Three
The Maze Runner (The Maze Runner #1),Default,20.93,One
The Lover's Dictionary,Default,58.09,Two
The Goldfinch,Default,43.58,Three
The Giver (The Giver Quartet #1),Default,12.3,One
The Girl Who Played with Fire (Millennium Trilogy #2),Default,22.14,Two
The Demon-Haunted World: Science as a Candle in the Dark,Default,52.25,Four
The Book Thief,Default,53.49,Two
The Autobiography of Malcolm X,Default,23.43,Two
Shopaholic & Baby (Shopaholic #5),Default,46.45,Two
Quiet: The Power of Introverts in a World That Can't Stop Talking,Default,43.55,One
Packing for Mars: The Curious Science of Life in the Void,Default,56.68,Two
Orange Is the New Black,Default,24.61,Two
One for the Money (Stephanie Plum #1),Default,32.87,Two
Morning Star (Red Rising #3),Default,29.4,One
Life After Life,Default,26.13,Two
"Lean In: Women, Work, and the Will to Lead",Default,25.02,One
Is Everyone Hanging Out Without Me? (And Other Concerns),Default,20.11,Three
Gone Girl,Default,37.6,Five
Fellside,Default,38.62,One
Eclipse (Twilight #3),Default,18.74,One
Dracula,Default,52.62,Three
Dead Wake: The Last Crossing of the Lusitania,Default,39.24,Five
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Default,17.81,One
Dark Places,Default,23.9,Five
Breaking Dawn (Twilight #4),Default,35.28,Five
Beautiful Creatures (Caster Chronicles #1),Default,21.55,Five
A Visit from the Goon Squad,Default,14.08,Five
The Zombie Room,Default,19.69,Five
The Name of the Wind (The Kingkiller Chronicle #1),Default,50.59,Three
Taking Shots (Assassins #1),Default,18.88,Two
Shatter Me (Shatter Me #1),Default,42.4,One
Paradise Lost (Paradise #1),Default,24.96,One
On the Road (Duluoz Legend),Default,32.36,Three
Jane Eyre,Default,38.43,Five
Frankenstein,Default,38.0,Two
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,One
Join,Science Fiction,35.67,Five
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,43.3,Four
The Project,Science Fiction,10.65,One
Soft Apocalypse,Science Fiction,26.12,Two
Sleeping Giants (Themis Files #1),Science Fiction,48.74,One
Arena,Science Fiction,21.36,Four
Foundation (Foundation (Publication Order) #1),Science Fiction,32.42,One
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,10.92,One
Ready Player One,Science Fiction,19.07,Four
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,33.26,Two
Dune (Dune #1),Science Fiction,54.86,One
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,51.48,One
Three Wishes (River of Time: California #1),Science Fiction,44.18,Two
The Last Girl (The Dominion Trilogy #1),Science Fiction,36.26,Two
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,34.96,Four
The Book of Basketball: The NBA According to The Sports Guy,Sports and Games,44.84,Five
"Friday Night Lights: A Town, a Team, and a Dream",Sports and Games,51.22,Three
Sugar Rush (Offensive Line #2),Sports and Games,24.42,One
Settling the Score (The Summer Games #1),Sports and Games,44.91,Two
Icing (Aces Hockey #2),Sports and Games,40.44,Four
The Torch Is Passed: A Harding Family Story,Add a comment,19.09,One
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,23.89,Four
The Art Forger,Add a comment,40.76,Three
On a Midnight Clear,Add a comment,14.07,Three
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,53.9,Two
"Shobu Samurai, Project Aryoku (#3)",Add a comment,29.06,Three
Modern Romance,Add a comment,28.26,Five
The White Queen (The Cousins' War #1),Add a comment,25.91,Five
The Song of Achilles,Add a comment,37.4,Five
The Immortal Life of Henrietta Lacks,Add a comment,40.67,Two
The Dovekeepers,Add a comment,48.78,One
More Than Music (Chasing the Dream #1),Add a comment,37.61,Two
Code Name Verity (Code Name Verity #1),Add a comment,22.13,Four
Cell,Add a comment,20.29,Four
Angels Walking (Angels Walking #1),Add a comment,34.2,Two
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,56.48,Two
A People's History of the United States,Add a comment,40.79,Two
A Brush of Wings (Angels Walking #3),Add a comment,55.51,One
Rook,Add a comment,37.86,Four
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,26.2,One
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,59.15,Four
The Children,Add a comment,11.88,Three
One with You (Crossfire #5),Add a comment,15.71,Four
Without Shame,Add a comment,48.27,Five
Watchmen,Add a comment,58.05,Four
A Hero's Curse (The Unseen Chronicles #1),Add a comment,50.49,Three
23 Degrees South: A Tropical Tale of Changing Whether...,Add a comment,35.79,Two
The Glass Castle,Add a comment,16.24,One
The Drowning Girls,Add a comment,35.67,Three
Team of Rivals: The Political Genius of Abraham Lincoln,Add a comment,20.12,Five
John Adams,Add a comment,57.43,Four
Good in Bed (Cannie Shapiro #1),Add a comment,37.05,Five
The Joy of Cooking,Add a comment,43.27,Four
The Golden Compass (His Dark Materials #1),Add a comment,18.77,One
The God Delusion,Add a comment,46.85,Three
Pride and Prejudice,Add a comment,19.27,Four
Mere Christianity,Add a comment,48.51,Three
Fun Home: A Family Tragicomic,Add a comment,56.59,Four
The Raven King (The Raven Cycle #4),Add a comment,30.57,Two
Find Her (Detective D.D. Warren #8),Add a comment,22.37,One
Evicted: Poverty and Profit in the American City,Add a comment,42.27,One
A Game of Thrones (A Song of Ice and Fire #1),Add a comment,46.42,Two
A Clash of Kings (A Song of Ice and Fire #2),Add a comment,10.79,Three
The Tipping Point: How Little Things Can Make a Big Difference,Add a comment,10.02,Two
The Rest Is Noise: Listening to the Twentieth Century,Add a comment,34.77,One
The Purpose Driven Life: What on Earth Am I Here for?,Add a comment,37.19,Three
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Add a comment,47.8,Three
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),Add a comment,57.48,One
"The End of Faith: Religion, Terror, and the Future of Reason",Add a comment,22.13,Four
The Complete Poems,Add a comment,41.32,Five
The Catcher in the Rye,Add a comment,24.55,One
The Case for Christ (Cases for Christianity),Add a comment,47.84,One
The Blind Side: Evolution of a Game,Add a comment,53.71,Five
Seven Days in the Art World,Add a comment,52.33,Two
Sarah's Key,Add a comment,46.29,One
Rogue Lawyer (Rogue Lawyer #1),Add a comment,50.11,Three
Manuscript Found in Accra,Add a comment,34.98,Two
Fire Bound (Sea Haven/Sisters of the Heart #5),Add a comment,21.28,Four
Cosmos,Add a comment,36.17,Two
#GIRLBOSS,Add a comment,50.96,One
The Sense of an Ending,Add a comment,31.38,Three
The Republic,Add a comment,33.78,Three
The Odyssey,Add a comment,29.64,Three
The Light of the Fireflies,Add a comment,54.43,One
The Iliad,Add a comment,16.16,One
The Communist Manifesto,Add a comment,14.76,Three
Lord of the Flies,Add a comment,24.89,Three
Unicorn Tracks,Fantasy,18.78,Three
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,25.02,Three
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34,Five
Masks and Shadows,Fantasy,56.4,Two
Crown of Midnight (Throne of Glass #2),Fantasy,43.29,Three
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,28.09,Two
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,52.37,One
Throne of Glass (Throne of Glass #1),Fantasy,35.07,Three
The Glittering Court (The Glittering Court #1),Fantasy,44.28,One
Hollow City (Miss Peregrine’s Peculiar Children #2),Fantasy,42.98,One
The Star-Touched Queen,Fantasy,46.02,Five
The Hidden Oracle (The Trials of Apollo #1),Fantasy,52.26,Two
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,44.73,Four
Island of Dragons (Unwanteds #7),Fantasy,29.65,One
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,37.51,Five
City of Glass (The Mortal Instruments #3),Fantasy,56.02,Four
Searching for Meaning in Gailana,Fantasy,38.73,One
The Star-Touched Queen,Fantasy,32.3,Five
A Shard of Ice (The Black Symphony Saga #1),Fantasy,56.63,Three
King's Folly (The Kinsman Chronicles #1),Fantasy,39.61,Five
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,12.16,Five
A Gathering of Shadows (Shades of Magic #2),Fantasy,44.81,Four
The Raven Boys (The Raven Cycle #1),Fantasy,57.74,Four
The False Prince (The Ascendance Trilogy #1),Fantasy,56.0,Five
Tell the Wind and Fire,Fantasy,45.51,Three
A Feast for Crows (A Song of Ice and Fire #4),Fantasy,17.21,Four
The Demonists (Demonist #1),Fantasy,52.11,Two
The Beast (Black Dagger Brotherhood #14),Fantasy,46.08,Five
Paper and Fire (The Great Library #2),Fantasy,49.45,Five
Harry Potter and the Order of the Phoenix (Harry Potter #5),Fantasy,31.63,Four
Harry Potter and the Half-Blood Prince (Harry Potter #6),Fantasy,48.75,Five
Harry Potter and the Chamber of Secrets (Harry Potter #2),Fantasy,14.74,One
The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,58.64,Four
Soldier (Talon #3),Fantasy,24.72,Two
Midnight Riot (Peter Grant/ Rivers of London - books #1),Fantasy,55.46,Two
Heir to the Sky,Fantasy,44.07,Four
Eragon (The Inheritance Cycle #1),Fantasy,43.87,Three
Darkfever (Fever #1),Fantasy,56.02,One
Ash,Fantasy,22.06,Four
A Storm of Swords (A Song of Ice and Fire #3),Fantasy,31.22,Two
Vampire Girl (Vampire Girl #1),Fantasy,53.82,Two
The Silent Twin (Detective Jennifer Knight #3),Fantasy,36.25,Three
The Mirror & the Maze (The Wrath and the Dawn #1.5),Fantasy,29.38,One
Sister Sable (The Mad Queen #1),Fantasy,13.33,Three
Shadow Rites (Jane Yellowrock #10),Fantasy,21.72,Four
Origins (Alphas 0.5),Fantasy,28.99,One
One Second (Seven #7),Fantasy,52.94,Two
Myriad (Prentor #1),Fantasy,58.75,Four
Without Borders (Wanderlove #1),New Adult,45.07,Two
The Mistake (Off-Campus #2),New Adult,43.29,Three
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,55.85,One
The Hook Up (Game On #1),New Adult,36.29,Five
Shameless,New Adult,58.35,Three
Off Sides (Off #1),New Adult,39.45,Five
The Requiem Red,Young Adult,22.65,One
Set Me Free,Young Adult,17.46,Five
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,45.22,Three
Obsidian (Lux #1),Young Adult,14.86,Two
Burning,Young Adult,28.81,Three
A Fierce and Subtle Poison,Young Adult,28.13,Four
Scarlett Epstein Hates It Here,Young Adult,43.55,Five
"Nightingale, Sing",Young Adult,38.28,One
Library of Souls (Miss Peregrine’s Peculiar Children #3),Young Adult,48.56,Five
Frostbite (Vampire Academy #2),Young Adult,29.99,Five
Wild Swans,Young Adult,14.36,Two
Until Friday Night (The Field Party #1),Young Adult,46.31,Two
This Is Where It Ends,Young Adult,27.12,Two
The Darkest Lie,Young Adult,35.35,Five
My Kind of Crazy,Young Adult,40.36,One
Don't Get Caught,Young Adult,55.35,One
Catching Jordan (Hundred Oaks),Young Adult,50.83,Three
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,58.14,Four
The Epidemic (The Program 0.6),Young Adult,14.44,Five
Stars Above (The Lunar Chronicles #4.5),Young Adult,48.05,Two
No Love Allowed (Dodge Cove #1),Young Adult,54.65,Four
"Exit, Pursued by a Bear",Young Adult,51.34,Four
The Alien Club,Young Adult,54.4,One
Don't Forget Steven,Young Adult,33.23,One
South of Sunshine,Young Adult,28.93,One
My Life Next Door (My Life Next Door ),Young Adult,36.39,Five
Future Shock (Future Shock #1),Young Adult,55.65,Five
Nightstruck: A Novel,Young Adult,50.35,Four
Tell the Wolves I'm Home,Young Adult,50.96,Two
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,47.31,Four
Where She Went (If I Stay #2),Young Adult,41.73,Four
Two Summers,Young Adult,14.64,One
The Darkest Corners,Young Adult,11.33,Five
Tell Me Three Things,Young Adult,41.81,One
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,23.63,Four
Kill the Boy Band,Young Adult,15.52,Five
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,48.13,Five
An Abundance of Katherines,Young Adult,10.0,Five
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Young Adult,24.17,Four
Walk the Edge (Thunder Road #2),Young Adult,32.36,Three
Two Boys Kissing,Young Adult,32.74,Two
The New Guy (and Other Senior Year Distractions),Young Adult,44.92,Three
"The Land of 10,000 Madonnas",Young Adult,29.64,Four
Scarlet (The Lunar Chronicles #2),Young Adult,14.57,Four
Legend (Legend #1),Young Adult,43.69,Four
Lady Renegades (Rebel Belle #3),Young Adult,53.04,Five
Golden (Heart of Dread #3),Young Adult,42.21,Four
Cinder (The Lunar Chronicles #1),Young Adult,26.09,One
Boy Meets Boy,Young Adult,21.12,Three
Annie on My Mind,Young Adult,36.83,Five
New Moon (Twilight #2),Young Adult,12.86,Four
Girl Online On Tour (Girl Online #2),Young Adult,53.47,One
The Haters,Young Adult,27.89,Five
The Art of Not Breathing,Young Adult,40.83,Four
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96,Four
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,57.36,Five
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,44.74,Four
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,37.55,One
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,55.91,One
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,28.41,One
The Origin of Species,Science,10.01,Four
The Grand Design,Science,13.76,Three
Peak: Secrets from the New Science of Expertise,Science,16.28,Two
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Science,13.03,Four
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,57.35,Five
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Science,25.83,Two
Seven Brief Lessons on Physics,Science,30.6,Four
The Selfish Gene,Science,29.45,One
A Light in the Attic,Poetry,51.77,Three
The Black Maria,Poetry,52.15,One
Shakespeare's Sonnets,Poetry,20.66,Four
Olio,Poetry,23.88,One
You can't bury them all: Poems,Poetry,33.63,Two
Slow States of Collapse: Poems,Poetry,57.31,Three
Untitled Collection: Sabbath Poems 2014,Poetry,14.27,Four
Poems That Make Grown Women Cry,Poetry,14.19,Four
Night Sky with Exit Wounds,Poetry,41.05,One
salt.,Poetry,46.78,Four
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,50.89,Five
Out of Print: City Lights Spotlight No. 14,Poetry,53.64,Five
Les Fleurs du Mal,Poetry,29.04,Five
Howl and Other Poems,Poetry,40.45,Two
Leave This Song Behind: Teen Poetry at Its Best,Poetry,51.17,Five
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,15.42,Five
The Crossover,Poetry,38.77,Four
Booked,Poetry,17.49,Five
Twenty Love Poems and a Song of Despair,Poetry,30.95,Four
"Vampire Knight, Vol. 1 (Vampire Knight #1)",Paranormal,15.4,One
Wall and Piece,Art,44.18,Four
Feathers: Displays of Brilliant Plumage,Art,49.05,Three
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Art,48.63,Four
The New Drawing on the Right Side of the Brain,Art,43.02,Three
History of Beauty,Art,10.29,Four
The Story of Art,Art,41.14,Four
The Art Book,Art,32.34,Two
Ways of Seeing,Art,39.51,Five
The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,10.4,One
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,39.43,One
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,56.27,Three
An Unquiet Mind: A Memoir of Moods and Madness,Psychology,21.3,Three
"Thinking, Fast and Slow",Psychology,21.14,One
Civilization and Its Discontents,Psychology,59.95,Two
8 Keys to Mental Health Through Exercise,Psychology,31.04,One
The Argonauts,Autobiography,10.93,Two
M Train,Autobiography,27.18,One
Lab Girl,Autobiography,40.85,One
Approval Junkie: Adventures in Caring Too Much,Autobiography,58.81,Five
Running with Scissors,Autobiography,12.91,Four
Me Talk Pretty One Day,Autobiography,57.6,Two
Lust & Wonder,Autobiography,11.87,Two
Life Without a Recipe,Autobiography,59.04,Five
A Heartbreaking Work of Staggering Genius,Autobiography,54.29,Five
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,37.35,Two
Fifty Shades Freed (Fifty Shades #3),Adult Fiction,15.36,Five
The Long Haul (Diary of a Wimpy Kid #9),Humor,44.07,One
Old School (Diary of a Wimpy Kid #10),Humor,11.83,Five
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Humor,25.98,Four
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,14.75,Five
Dress Your Family in Corduroy and Denim,Humor,43.68,Three
Toddlers Are A**holes: It's Not Your Fault,Humor,25.55,One
When You Are Engulfed in Flames,Humor,30.89,Five
Naked,Humor,31.69,Three
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Humor,55.5,Five
Holidays on Ice,Humor,51.07,Two
Security,Horror,39.25,Two
Follow You Home,Horror,21.36,One
The Loney,Horror,23.4,One
Pet Sematary,Horror,10.56,Three
Doctor Sleep (The Shining #2),Horror,40.12,Two
Psycho: Sanitarium (Psycho #1.5),Horror,36.97,Five
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,48.64,One
Red Dragon (Hannibal Lecter #1),Horror,23.37,Three
Dracula the Un-Dead,Horror,35.63,Five
Night Shift (Night Shift #1-20),Horror,12.75,Four
Needful Things,Horror,47.51,Four
Misery,Horror,34.79,Two
It,Horror,25.01,Three
'Salem's Lot,Horror,49.56,Four
The Stand,Horror,57.86,Two
The Girl with All the Gifts,Horror,49.47,Three
House of Leaves,Horror,54.89,One
Sapiens: A Brief History of Humankind,History,54.23,Five
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52,One
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,19.73,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,36.28,Two
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,59.64,One
Zealot: The Life and Times of Jesus of Nazareth,History,24.7,Three
A Distant Mirror: The Calamitous 14th Century,History,14.58,Three
1491: New Revelations of the Americas Before Columbus,History,21.8,Three
Brilliant Beacons: A History of the American Lighthouse,History,11.45,Three
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,44.48,Five
A Short History of Nearly Everything,History,52.4,Five
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,39.67,Two
Catherine the Great: Portrait of a Woman,History,58.55,Four
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,42.91,Five
The Hiding Place,History,55.91,Four
America's War for the Greater Middle East: A Military History,History,51.22,Two
The Guns of August,History,14.54,Two
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,43.7,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,Three
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,56.41,One
My Paris Kitchen: Recipes and Stories,Food and Drink,33.37,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,14.02,Four
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,40.11,One
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,37.34,Five
